::cantidad:€:total::
::::::
::::::
Chasis:Puda Stingy (clon del XHover):1:28,78:28,78:'https://www.banggood.com/Stingy-V2-235mm-Wheelbase-4mm-Arm-Carbon-Fiber-5-Inch-Frame-Kit-for-RC-Drone-FPV-Racing-p-1448287.html?rmmds=search&cur_warehouse=CN':
Controladora:Airbot Omnibus F4 V5:1:32,22:32,22:'https://www.banggood.com/Original-Airbot-Omnibus-F4-V5-Flight-Controller-OSD-STM32-F405-MCU-MPU6000-5V-1A-BEC-p-1319176.html?rmmds=search&cur_warehouse=CN':
RX:Jumper R1:1:13:13:'https://www.banggood.com/Jumper-R1-Mini-Receiver-16CH-Sbus-RX-Compatible-Frsky-D16-Transmitter-Radio-Remote-Control-for-RC-Drone-FPV-Racing-Multi-Rotor-p-1439136.html?rmmds=search&cur_warehouse=CN':
VTX:Eachine TX5258:1:16:16:'https://www.banggood.com/Eachine-TX5258-5-8G-72CH-25200500800mW-Switchable-FPV-Transmitter-Support-OSD-Configuring-p-1248768.html?rmmds=search&cur_warehouse=CN':
Motores:Emax RS2205S 2300KV:5:17,15:85,75:'https://www.banggood.com/Emax-RS2205S-2300KV-Racing-Edition-Brushess-Motor-CW-CCW-for-FPV-Racing-p-1093090.html?rmmds=search&ID=511866&cur_warehouse=CN':
Batería:GNB 1500mAh 4S:2:25:50:'https://www.banggood.com/Gaoneng-GNB-14_8V-1500mAh-4S-120C240C-Lipo-Battery-for-FPV-Racing-p-1102069.html?rmmds=search&cur_warehouse=CN':
Variadores:HGLRC 30A:4:7:28:'https://www.banggood.com/HGLRC-30A-30AMP-2-5S-BLHeli_S-16_5-BB2-Brushless-ESC-Dshot600-Ready-for-RC-Drone-FPV-Racing-p-1398923.html?rmmds=search&cur_warehouse=CN':
Cámara:Foxeer HS1177:1:23:23:'https://www.banggood.com/Foxeer-HS1177-V2-600TVL-CCD-2_5mm2_8mm-PALNTSC-IR-Blocked-Mini-FPV-Camera-5-40V-w-Bracket-p-1148677.html?rmmds=search&cur_warehouse=CN':
Buzzer autónomo:HGLRC:1:3,21:3,21:'https://www.banggood.com/URUAV-UR6-5V-110dB-BB-Alarm-Buzzer-Mini-Tacker-36x18mm-with-Lipo-Battery-LED-Light-for-RC-Drone-FPV-Racing-p-1412683.html?rmmds=search':
Palas:DAL Cyclone 5050:3:2,53:7,59:'https://www.banggood.com/2-Pairs-DALPROP-Cyclone-T5145C-Pro-5-Inch-Unbreakable-Aggressive-Propeller-Compatible-POPO-p-1536685.html?rmmds=search&ID=6266954&cur_warehouse=CN':
Antenas::2:3:6:'https://www.banggood.com/Realacc-Pagoda-Antenna-6_5cm-65mm-5_8G-5dBi-Panel-Plate-Omni-directional-FPV-Short-Antenna-p-1174479.html?rmmds=search&ID=513344523628&cur_warehouse=CN':
Gafas:Eachine EV200:1:41::'https://www.banggood.com/Eachine-EV200D-1280720-5_8G-72CH-True-Diversity-FPV-Goggles-HD-Port-in-2D3D-Built-in-DVR-p-1220010.html?rmmds=search&ID=233532186&cur_warehouse=CN':
Emisora:FrSky Q-X7:1:115::Varios modelos Q_X7:'https://www.banggood.com/FrSky-ACCST-Taranis-Q-X7-Transmitter-2_4G-16CH-Mode-2-White-Black-International-Version-for-RC-Drone-p-1196246.html?rmmds=search&ID=521800&cur_warehouse=CN'
:::326,89:::
::::::
::::::
::::::
::::::
Motores más baratos (pierdes un poco de calidad pero corren igual)::Compra mínimo 5, que se terminarán rompiendo. Asi no tendrás que esperar a que te lleguen repuestos.:9::'https://www.banggood.com/DYS-Samguk-Series-Wei-2207-2300KV-2600KV-3-4S-Brushless-Motor-for-Racing-Drone-p-1226073.html?rmmds=myorder&ID=511866&cur_warehouse=CN':
